*action         행동, action
chart           도표
*entry          항목
*issue          이슈
*link           링크
*maintainer     관리자
*obscene        obscene
*optional       optional
*pondering      pondering
*session        세션
*stagger        stagger
account         사용자
add             더하기
additional comment 추가 의견
administration  관리자측
administrator   관리자
appropriate     적당한, 해당하는
approve         승인하다
assignee        담당자
author          저자
bonk            누르다(원래는 퉁 치다 라는 뜻)
cc              참조
cc list         참조 목록
change          변경
check all       모두 선택
clever          창의적인
click           누르세요
column          세로 항목
comment         의견
comments box    의견란
commit          확인
component       구성 요소
confirm         승인
contact         연락처
create account  사용자 등록
critical        위험한
deadline        마감일
delete          지우다, 지우기
distribute      나누다
edit            고치기
effective       효과적인
email           전자우편
especially      특히
estimated hours 예상 시간
field           항목
fixed           끝냄
footer          꼬리말
form            입력 서식
format          형식
full summary    요약 전문
full text       전문
group           집단
guide           길잡이
guideline       길잡이
header          머리말
headline        주요 제목
id              아이디
impersonate     ~인 척하다
impersonated user   대역 사용자
impersonation   ~인 척하기
inactive        비활성
indicate        나타내다
item            항목
keyword         주요 단어
lapse           효력이 없어지다.
list            목록
login           로그인
logout          로그아웃
plugin          플러그인
quick search    빠른 검색
match           일치하다
milestone       지점
minimal         최소한의
normal          일반
note            주의
notice          알림
notification    알림
old             예전
only removed    지우기만 함
open            열린
os              운영체제
package         꾸러미
page            화면
parameter       매개변수
password        열쇠글
platform        플랫폼
prettier        더 보기좋음
pri             중요도
principle       원칙
priority        중요도
privacy         개인정보
product         제품
qa contact      QA 연락처
query           질의
quip            가벼운 글귀
release date    배포 날짜
relevant        관련있다(관련된 이지만 능동으로)
relevant product    관련제품
remaining time  남은 시간
remeber         저장
remove          지우기
reporter        보고자
review         관찰
same            같은
save            저장, 저장하기
search form     검색 서식
section         부분
sev             엄격도
severity        엄격도
standard        표준
status          상태
status whiteboard   상황판
submit          제출
substring       부분 문자열
summary         요약
system          시스템
target milestone    목표 지점
targetM         목표 모델
term            낱말
terms.Bugzilla      사이트 이름(예: Emstone Bugzilla)
terms.bug       버그
testing         테스트
text            본문
tracking        추적
unapproved      승인받지 않은
uncheck all     모두 해제
update          판올림, 갱신
user            사용자
valid           유효한
version         버전
view            보기
vote            투표, 표
vote for this XXX   현재 XXX에 투표하기
voting          투표
weighted vote   가중투표(복수투표)
word            낱말
